Rank,Team/User Name,School/Organization,Score
127,"Super_Humans","John Polanyi Collegiate Institute",3375
128,"LPGang","Lorne Park Secondary School",3335
129,"SPSS SAINTS","St. Peter's Catholic Secondary School",3325
130,"5519","Louise Arbour Secondary School",3300
131,"CS123","Old Scona Academic",3260
132,"h4k3rm3n","John Polanyi Collegiate Institute",3260
133,"bmhsHackers","Bernice MacNaughton High School",3250
134,"backtotheUSSR","John Polanyi CI, Toronto ON",3250
135,"LilFunks","Newmarket High School",3210
136,"Software Sisters","St. Peters Secondary School ",3185
137,"ecoders","Westlane Secondary School",3160
138,"sparkle sparkle","John polanyi collegiate institude",3150
139,"Team_UCC","Upper Canada College",3110
140,"Apollo 13","Canterbury High School",3100
141,"r00t-acce55","Leaside High School",3060
142,"TotalWeeb","Old Scona Academic",3060
143,"NeedFriends","William Aberhart High School",3060
144,"SwoodHJ","Sandalwood Heights SS",3010
145,"417","St. Andrew's College",2960
146,"m13k0","The Linden School, Toronto, ON",2960
147,"OTW","St Annes High School",2910
148,"Kotoamatsukami","Crestwood",2910
149,"Team MCX148","West Humber Collegiate Institute",2910
150,"jackyzha0","St. George's",2885
151,"S t r i N g C h e Z e","Bayview Middle School",2860
152,"UrSquadGoals","West Humber C.I",2835
153,"trev003","John Polanyi Collegiate Institute",2825
154,"TheMucketeers","Malvern Collegiate Institute",2760
155,"Beensville Bucs","Beamsville District Secondary school",2735
156,"xTKingx","Clarkson SS",2725
157,"cowityle","St. Peter",2710
158,"asians","Phillips Exeter Academy",2675
159,"CSR","Jarvis CI",2650
160,"H@ckCh0p","Listowel District Secondary School",2635
161,"CrossMender7","The Woodlands secondary school",2625
162,"turtle","Clarkson ss",2585
163,"Miko_carrot2.0","Clarkson SS",2525
164,"CATTTTs","John Polanyi CI",2475
165,"Python Snakes","Grimsby Secondary School",2460
166,"We Are 1v9","St. Andrew's College",2460
167,"NotMaxBradshaw","Woodlands School",2425
168,"SuperDust","Sir Winston Churchill",2400
169,"Skinnylegends","Cklarkson Secondary School",2385
170,"MDV hack 2k18","Meadowvale ss",2375
171,"Collectively100IQ","Dr.Norman Bethune C.I.",2360
172,"aim123","Sir Winston Churchill ",2350
173,"kockroach klan","Clarkson Secondary School",2350
174,"ToddSedor","ATC CyberSaints_",2325
175,"Ronel","David Lontoc",2325
176,"pinksprinkles7","Chinguacousy Secondary School",2310
177,"Hit The Yeet Fam","Sir Winston Churchill Secondary School",2300
178,"thenibs","Old Scona Academic High School",2260
179,"Mskachkov","Saint Andrews College",2260
180,"JV Team Two","Jean Vanier CSS",2235
181,"Finishing Chillers","Huron Hieghts Secondary School, Newmarket",2210
182,"Siege Squadron","Holy Cross Secondary Catholic School",2200
183,"_404_","Woodlands secondary school",2185
184,"DDR1","Sisler High School, Winnipeg, MB",2175
185,"Double S","John Polanyi C.I ",2175
186,"yanbocheng","Crescent School",2160
187,"SATEC Team A","SATEC@W.A. PORTER C.I.",2160
188,"Bikini Bottom Brotherhood","St.Michaels C.S.S",2150
189,"SEE WHY AT SIGN","Bayview Middle School",2110
190,"Rook","Sisler High School",2075
191,"Leaside Bois","Leaside High School",2025
192,"Himmatmahal","Chinguacousy Secondary School",2025
193,"Dudes","J Percy Page",2025
194,"Bard Main","Dr. Norman Bethune Collegiate Institute ",2000
195,"penpineappleapplepen","bayview middle school",2000
196,"652296","Woodlands SS, Ontario",1985
197,"Rez","Crescent School",1975
198,"YoFatGrandpappy","Clarkson Secondary, Mississauga, ON",1975
199,"Broccoli_SOUP","Clarkson Secondary School",1950
200,"Einsteins","Bayview Middle School",1950
201,"BenIsOurDad","Centre Wellington District High School",1925
202,"HiMyNameIsConnor","Dr. Norman Bethune C.I",1900
203,"v6p","JPCI",1875
204,"zzz","River East Collegiate",1850
205,"¯\_(ツ)_/¯","Holy Cross",1850
206,"uhhTeamName?","Leaside High School",1835
207,"Potatoes","Lorne Park Secondary School",1825
208,"Vigilanties","A.R.S. ",1825
209,"cyberwolves","Chinguacousy Secondary School",1810
210,"Dauntless","J Percy Page",1810
211,"Zabesto","SATEC @ W.A. Porter CI",1810
212,".EXEcutioners","Sisler High School",1775
213,"The Legionnaires","john polanyi collegiate institute",1775
214,"mahmoodtahir459","John Polanyi",1775
215,"Hack&/","School, St.Catharines, ON",1775
216,"S t r i N g   C h e Z e","Bayview Middle School",1750
217,"SuperLoyan","A.R.S. Armenian Private School ",1750
218,"ColbyW","Harrison Trimble",1750
219,"GG2GG","John Polanyi CI",1735
220," Liberum Cibum","Heart Lake Secondary School",1725
221,"Super Ultimate Coder Club","Jarvis Collegiate Institute",1725
222,"11HQ","Crescent School",1710
223,"Oriental","Iona Catholic Secondary School, Mississauga, ON",1660
224,"Recreational Hazard","St. Michels ",1650
225,"NeilMcNeilB","Neil McNeil-",1650
226,"ProHackerGangXD","Clarkson SS",1650
227,"The Namtronics","Bernice MacNaughton High School, Moncton, NB",1635
228,"SPSScheekibreeki","St peters secondary school",1625
229,"Governor Simcoe","Governor Simcoe Secondary School",1625
230,"test1234","St. George's",1610
231,"CZOUSQ","Iona ",1600
232,"behrouz5611","JPCI",1575
233,"Mikoiohdyu","ARS Day School",1575
234,"YE3T","John Polanyi, Toronto, ON",1550
235,"GIAO Team","Clarkson ss",1550
236,"ck01q","John Polanyi CI",1550
237,"CBears","St Edmund Campion Secondary School",1535
238,"KingCyrin","Maple High School",1535
239,"school18","JPCI Toronto on",1525
240,"Chefs","St. Andrew's College",1525
241,"Grechact","granite ridge education centre",1500
242,"STACSC","Saint Thomas Aquinas",1500
243,"Chey and Brandon","River East Collegiate",1475
244,"doyourworks","JPCI",1460
245,"hehe xd","Sisler High School",1450
246,"Hacker1","SATEC @ W. A. Porter Collegiate Institute",1425
247,"gill111","Sandalwood Heights Secondary School",1425
248,"mackenzielauren12","Sisler, Winnipeg, MB",1425
249,"SeanEats19","St. Joan of Arc Catholic Secondary School",1425
250,"METTK GODS","Crescent School",1400
251,"ARS_LIONS","ARS Day School Toronto, ON",1400
252,"jdouglas12","Upper Canada College",1375
253,"MinhNguyen","J.Percy.Page",1375
254,"Xist","St. Francis Xavier Secondary School",1350
255,"CrossBender8","The Woodlands Secondary School",1350
256,"lhw2333","St.Andrew's college",1335
257,"P455BignoseYahYeet","Louise Arbour Secondary School",1335
258,"Eccentric Entropy","Westlane SS",1325
259,"The Drittens","cedarview middle school",1325
260,"The Technicians","Ars Armenian Private School",1325
261,"CraftyCan","Peel Adult Education Centre - Mississauga Campus",1310
262,"Loading...","Chinguacousy Secondary School",1300
263,"EpicGamers","JPCI",1285
264,"pigeon","Old Scona Academic, Edmonton, AB",1275
265,"E=mcHammer","De La Salle College "Oaklands"",1275
266,"Miguel","Louis Riel Arts and Technology Center",1235
267,"litteboi","Applewood Heights SS",1235
268,"paperclipMaximizers","Markham District High School",1200
269,"B-vengers","St. Joan of Arc Catholic Secondary School",1200
270,"TurbinaTor","sisler high school",1200
271,"HaCkEr A11iAnCe","John Polanyi CI",1200
272,"R3JlZWR5IENvbW11bmlzdHM","Woodlands Secondary, MIssissauga, ON",1185
273,"HanIamQIB92","Louise Arbour Secondary School",1185
274,"TheBigBaker7","Louise Arbour Secondary School",1185
275,"piece of cake","ARS Armenian Private School",1175
276,"AdamYang66","Applewood heights secondary school",1160
277,"DavidsFans","Newmarket Highschool",1160
278,"MST-Enriched Party","West Humber CI",1150
279,"lilmosey","Jpci",1150
280,"Ballislife","Sisler High Shool",1150
281,"FOrTniTe HaXors","Bayview",1135
282,"bvaneeden","St. Andrew's Colleg",1135
283,"The Fish Sticks","Fundy Middle and High School",1135
284,"Virusbusterz","Fletchers Meadow Secondary School",1125
285,"jencs5","Loretto College School, Toronto, ON",1125
286,"Team-hackerman","Georges Vainer Secondary School",1125
287,"RawrXD","Old Scona Academic High School, Edmonton, AB",1100
288,"LukesARaptor","Newmarket High School",1075
289,"Knickemz","Sisler",1075
290,"Gooey","Lorne park secondary school",1075
291,"sagoclt101","John Polanyi",1075
292,"ashleeey","Sisler High School",1075
293,"AnshAndOthers","Upper Canada College",1075
294,"LanaBozanic","Applewood Heights S.S",1060
295,"crusaders","Holy Cross Secondary School, KIngston, ON",1050
296,"Oaque","Arts and Technology Center",1035
297,"bubonicbob","fhs",1035
298,"P4R4D0X_","Sisler High School",1010
299,"UberHACKsornova","John Polanyi Collegiate Institute",1000
300,"MrGamingMouse","John Polanyi Collegiate Institute",1000
301,"UCC-1","Upper Canada College",1000
302,"hackers4life","The Woodlands School, Mississauga, On",1000
303,"YingYang","Old Scona",1000
304,"Jarrett,Sami,Rebecca,Luke","St. Michael C.S.S",1000
305,"SimonNoble","Makham District High School",985
306,"MoonageDaydream","Old Scona Academic",975
307,"the haxxers","John Polanyi Collegiate Institute",975
308,"SnoreST","iona",975
309,"faze hax","Runnymede C.I.",975
310,"teamdub","William Lyon Mackenzie",975
311,"cpu","Lorne Park",975
312,"zecookiez","Colonel By Secondary School",975
313,"Team Ingini","St. Peter Catholic Secondary School",950
314,"shovelsdiefirst","Cedarview Middle School",950
315,"Gang","Sir Winston Churchill Secondary School",950
316,"TKSHackers","Mentor College",950
317,"PBP Anonymous ","St Michael's C.S.S",925
318,"byte me","Loretto College",925
319,"Wingdings","Holy Cross Secondary School",925
320,"sushi14","bayview middle school",925
321,"brehtato","clarkson secondary school",925
322,"bigbigpig76","john Polanyi ",925
323,"TSM","John Polanyi",900
324,"Fenton","John Polanyi Collegiate institute",900
325,"bagel boiis","JPCI",900
326,"notAVirus","Bev Facey",900
327,"HackNugget","Runnymede CI",900
328,"catiu9","Dr.Norman Bethune",900
329,"The_Crew","Old Scona Academic",900
330,"I dont know","John Cabot",875
331,"suttjax","St. Peter CSS",875
332,"newiak","Old Scona Academic",875
333,"Sons_Of_The _Prodigal_Son","St. Anne Catholic High School",850
334,"VID","Craig Kielburger",850
335,"BustDown","Northern Secondary School",850
336,"cantHack2018","bev facey",850
337,"Flat Earth Chads","Jarvis Collegiate Institute",850
338,"R1vals","Jarvis Collegiate",850
339,"Mighty Ducks","Sir Winston Churchill",850
340,"The Trailblazing Cheetahs!","west humber colligeaute",850
341,"The Duo","Sisler High School",850
342,"WADERTHICCBOI","Dr. Norman Bethune C.I.",850
343,"teamsuper","ars day school",850
344,"thicchackers","john polanyi collegiate institute",825
345,"muttjaco","St. Peter's Catholic Secondary School",825
346,"Timmy6667","JPCI",825
347,"COLEBERG33","FMHS",825
348,"Grandoff","Sir Winston Churchill Secondary School",825
349,"JacEvan","Huron Heights Secondary School",810
350,"kingcolt45","Louis Riel Arts and Technology Centre",800
351,"nourishnew","STEPHEN LEWIS SECONDARYSCHOOL",800
352,"Black Quartz","Old Scona Academic",800
353,"Jayvee905","Bernice Macnaughton",775
354,"BigShafters","Huron Heights Secondary School",775
355,"jackisthebeanstalk","Loretto College School",775
356,"Hacking Hunters","sisler high school",775
357,"CMS Hackers","Cedarview MS",760
358,"Sumayyam","Meadowvale SS",750
359,"Lear1","Meadowvale Secondary School",750
360,"VaishR","Meadowvale Secondary school",750
361,"Attack Helicopter","Glenlawn",750
362,"codingcook","The woodlands Secondary School",750
363,"JojoMasterofDojo","Applewood Height SS",750
364,"wtrin1","Glebe Collegiate Institute",725
365,"PumkingEaters","St. Michaels C.S.S",725
366,"YOLOSwag1","West Humber Collegiate Institute",700
367,"Ore wa ochin chin ga daisuki nandayo","DSBN Academy",700
368,"PBP Anonymous","St.Michael C.S.S",700
369,"HHHH","Huron Heights Secondary School",700
370,"TymLock","Craig Kielburger",700
371,"amumuchan1","John Polanyi CI",700
372,"tigx7","Upper Canada College",700
373,"BANJCN","Sisler High School ",700
374,"ArunA6","Upper Canada College",700
375,"PommerKid","sisler high school",700
376,"okiba","St. Joan Of Arc Catholic Secondary School",700
377,"manga123","John Rennie",700
378,"frozenduck","De La Salle College Oaklands",700
379,"AWildZeebra","John Polanyi Collegiate Institute",700
380,"NaCl","Clarkson Secondary School",700
381,"ain","ahss",700
382,"henry123","John Polanyi Collegiate Institute",700
383,"Combustion18 ","AY Jackson",700
384,"ItsCheeseModz","No school",675
385,"Huron407","Huron Heights Secondary School",675
386,"333922110","Silverthorn",675
387,"The B Team ","St.Peters Secondary School",675
388,"NeilMcNeilD","Neil McNeil High School",675
389,"jandaconda","Applewood Height Secondary School, Ontario",675
390,"Coder13211","Jon Polayni collegiate institute",650
391,"mkainth76","Louise Arbour SS ",625
392,"Saber","Salisbury Composite High-school Sherwood Park AB",625
393,"Slaquinhaquin","SATEC@W.A.Porter C.I.",625
394,"EnigmaKey","West Humber",625
395,"RSK","Jarvis CI",625
396,"ROHELPEREIRA","Meadowvale secondary school",600
397,"TheRealJohnKeane","Louise Arbour Secondary School",600
398,"Infamous Longshots","Craig Kielburger Secondary School",600
399,"Cater","Arts & technology Centre",600
400,"Jarvis_Bulldogs","Jarvis Collegiate Institute",600
401,"coolnickhi","John Polanyi Collegiate Institute",600
402,"mev2002","Loyola Catholic Secondary School",600
403,"Awwseeka","Dr.Norman Bethune",600
404,"christianescuro","john polanyi",600
405,"Desaloth","Huron Heights",575
406,"The Revengers","Kipling Collegiate Institute, Toronto, Ontario",575
407,"Henry","John Polanyi Collegiate ins.",575
408,"Rollatee","Holy Cross Secondary School",575
409,"RyanS","Sir Winston Churchill, St.Catharines",575
410,"khevente","Clarkson secondary school",575
411,"TheMostHandsomeGuy2","Applewood Heights S.S.",560
412,"Karma404","Loyola Catholic Secondary School",550
413,"BollyBoys","Craig Keilburger Secondary school",550
414,"Charlie Brown","huron heights",550
415,"Keyboard Crusaders","Huron Heights Secondary School, Newmarket.",550
416,"The 10 Types Of People.","Port Perry High School",550
417,"Code Baddies","Loretto College",550
418,"Yeeting Yimmies","Saint Anne's, Emeryville ON",525
419,"The Warriors","Danforth CTI",525
420,"The science Guys","LDSS,Listowel,ON",525
421,"Cinder's world of wonders","Huron Heights secondary school",525
422,"Haeridinh","JPCI",525
423,"yihia","ckss",500
424,"JaeTea","St Joan of Arc",500
425,"R.A.R","Holy Cross",500
426,"Sup3rt3ch","listowel district secondary school",500
427,"Sirderp99 Gaming","Listowel District Secondary School",500
428,"matmant","Louis RIel Arts and Technology",500
429,"Boolean Boyz","Crescent",500
430,"ImSoOminous","J.Percy.Page",500
431,"Team Hades","River East Collegiate",500
432,"Dean1234","Loyola ON",500
433,"Mysteryteam","john polanyi collegiate institute",500
434,"Barian Emperors","West Humber CI",500
435,"CLA","Loretto College",500
436,"amap7","Upper Canada College",500
437,"Crocker","St. Andrew's College",500
438,"yiannimikro","Forest Hill PS",500
439,"RoyaMehdinejad0525","John Polanyi Collegiate Institute",500
440,"Calamity","Clarkson Secondary School",500
441,"Maliwat08","JPCI",500
442,"Lecuyeran","Sir Winston Churchill ",500
443,"Overlord","Clarkson Secondly School",500
444,"17647","Jean Vanier Catholic Secondary School",475
445,"stevenhowe2001","ATC",475
446,"Venomous","Jarvis Collegiate",475
447,"masterdebaters","Jarvis Collegiate Institute, Toronto Ontario",475
448,"JHP","Iona",475
449,"TheGoons","St.Andrews College",450
450,"Gamer Girlz","Huron Heights Secondary School, Newmarket",450
451,"pepperonie","Bev Facey",450
452,"crabRave","St. Marguerite D'youville",450
453,"The B Team","St. Peter Secondary ",450
454,"JZC","Meadowvale Secondary School Mississauga, Ontario",425
455,"xxnikhilxxflexxx2","Meadowvale ",425
456,"SaifA","Meadowvale",425
457,"SGaz","Meadowvale Secondary School",425
458,"armo","meadowvale secondary school",425
459,"jpuisto","Meadowvale Secondary School",425
460,"jw071","BCI",425
461,"Sebastian's team","Bayview Middle School",425
462,"WillyG263","St. Mikes CSS",425
463,"pcstudent","Applewood Heights SS",425
464,"isaiahkenny","John Polanyi ",425
465,"no CAPs","Jarvis Collegiate Insitute",425
466,"Grade10girls","Lorne Park Secondary School",425
467,"-_-","Ste Anne catholic Highschool",425
468,"Laughing Coffin","Triolet, sherbrooke, QC",425
469,"Team Solo Harambe","The Woodlands School",425
470,"Jg28","Iona",425
471,"STFXSS","St. Francis Xavier Secondary School",400
472,"1ncipient","Dr. Norman Bethune Collegiate Institute",400
473,"orbit","Lorne Park Secondary School",375
474,"Tech_Support","Craig Kielburger Secondary School",375
475,"SilentSword999","Centennial CVI, ON",375
476,"janam2884","Dakota Collegiate",375
477,"TWolves","Chinguacousy SS",375
478,"LucasTalsma","St.M.ikes css",375
479,"(Ctrl+S+us)","Chinguacousy Secondary School",375
480,"Fred","Malvern Collegiate Institute",375
481,"LCSgirls2018","Loretto College ",375
482,"mariahdetorres","Holy Name of Mary CSS",375
483,"CoolestKids","UCC",375
484,"army","west humbert",375
485,"GrandmaCookies","CKSS",375
486,"OE10","Meadowvale Secondary School",350
487,"theveenan","Meadowvale Secondary School",350
488,"Ahmed","Meadowvale",350
489,"LogangForLife","Westlane Secondary School",350
490,"JP > TP","St. Andrew's College",350
491,"JagerHackt","Iona CSS",350
492,"maielletalisa","Huron Heights Secondary School",350
493,"fortnitepicroyale","Skrt High",350
494,"ozzyman5156","Crescent School",350
495,"username4","ceadarview",350
496,"hadilo","SILVERTHORN C.I.",350
497,"JOVAHscript","Jarvis Collegiate Institute, Toronto ,ON",350
498,"500 iQ Gamer Squad","A. Y. Jackson Secondary School",350
499,"UnoriginalTwit","Old Scona Academic, Edmonton, AB",350
500,"UCC121","Upper Canada College",350
501,"GCI CS20F Silver Troopers","Glenlawn Collegiate Institute, Winnipeg, MB",350
502,"Daniel9875","St. Ignatius of Loyola",350
503,"LCS-ICS","Loretto College",350
504,"ERROR  5911","satec@w.a Porter",325
505,"Wayniac","Chinguacousy S. S.",325
506,"DollaBrews","Malvern",325
507,"1234512345","Huron heights",325
508,"Raheel","Meadowvale Secondary School",300
509,"Denx2","Sisler High School",300
510,"Enrico","Sisler High School",300
511,"Room407","huron heights ss",300
512,"IonaCS","Iona CS",300
513,"Lebronto","Iona ",300
514,"LukeyPookey","Saint mike's",300
515,"Icy squads","Huron heights secondary school",300
516,"Arthur76","Crescent school",300
517,"999maxwell2","John Fraser Secondary School",300
518,"Brianballao31","John Polanyi",300
519,"sw1m s0ccer","Green Glade",300
520,"DZZ","Chinguacousy Secondary School, Brampton ON",300
521,"ErinandRyan","Newmarket High School",300
522,"0700","Newmarket High School",300
523,"Ahmed2003","Sir Winston Churchill",300
524,"Abdirizak123","John Polyani Collegiate Institute ",300
525,"AZERBAIJAN","CKSS",275
526,"mrawesome","Loyola Mississauga",275
527,"awwseeka","Dr. Norman Bethune",275
528,"Mr.Robot","The Woodlands Secondary School",275
529,"bra05","University of Toronto Schools (UTS)",275
530,"thaci0","Listowel District Secondary School",275
531,"asalzp","John Polanyi Collegiate institute",275
532,"Filotimo","Leaside High School",275
533,"cheesestring","Cedarview Middle School",275
534,"Martini","IonaCS",275
535,"Option 3","Applewood Heights Secondary School",275
536,"Djpop3","Applewood Heights Secondary School",275
537,"katlover151","Center Wellington District High school",275
538,"T3AmP01SoN","Sisler High School",275
539,"DRKST","Loyola Catholic Secondary School, Mississauga, ON",275
540,"progamer21","St. michael c.s.c",275
541,"triluna21","Holy Name of Mary CSS",275
542,"01101010 01100001 01101010 01100001","Earl Haig Secondary School",275
543,"Graporb13","Centre Wellington District School Board",275
544,"CMS hacking team ","Cedarview Middle School ",275
545,"Pg101","Bur Oak Secondary School,Markham,Ontario",275
546,"DylanLi","Upper Canada College",275
547,"072679533","Newmarket High School",275
548,"Guild","Newmarket High School",275
549,"CTF","Lanark",250
550,"asphyxia","a y jackson secondary school",250
551,"KirbyMaster","Loyola Catholic Secondary School",250
552,"SHRTBUSGNG","huron heights",250
553,"nyquill","Canterbury High School",250
554,"SuRhea","john polayni c.i",250
555,"sakuraga2","John Polanyi ",250
556,"ARS","A.R.S Day School",225
557,"stephenK","Iona",225
558,"bob and ethan","cederview middle school",225
559,"anoymouszee","Louise Arbour Secondary School ",200
560,"LesHabitants"," Huron Heights Secondary School, Newmarket",200
561,"NeilMcNeilC","neil mcneil ",200
562,"WhiteRabbit","Columbia Academy",200
563,"SwoodRockstars","Sandalwood Secondary School",200
564,"LunaLapiz","St. Joan of arc ",200
565,"Faraz","Chinguacousy Secondary School",200
566,"kewlkid","Agincourt High",200
567,"Kmart","LDSS",200
568,"Nicueh","Clarkson seondary school",200
569,"H@ckerCh@os","LDSS",200
570,"cheeseburger","Listowel District Secondary School",200
571,"Gangas123","Huron ",200
572,"br4dhawks077","HHSS",200
573,"MrJovi","Arts and Technology Center",200
574,"007bg","western tech",200
575,"poopityscoop","Iona Catholic School",200
576,"RamRanchCowboy","Iona Catholic Secondary School",200
577,"55winner","Markham District High School",200
578,"K H A L I F     A B D I R I Z A K","john poylani ci",200
579,"jguo1","John Fraser Secondary School",200
580,"therrencepacapac"," john polanyi c.i",200
581,"Erik123","John Polanyi",200
582,"MoMoney","Sir Winston Churchill",200
583,"072647407","Newmarket High School",200
584,"LandedPlane","Maples Met School",200
585,"oofoof","Sisler",200
586,"Iraq","loyola catholic mississauga",175
587,"the muffin men ","BMS",150
588,"Kazreo9","MDv ss",150
589,"Jerome","Sisler High School",150
590,"Sus Mandemz","M.M Robinson",150
591,"alian","SJA",150
592,"bigblackman","Neil McNeil ",150
593,"Lil' Broomstick","J Percy Page",150
594,"qwery011","Northern",150
595,"livelovelaugh","Cedarview Middle",150
596,"Munesh01","West Humber CI",150
597,"crackers","Don Mills Collegiate Institute",150
598,"theewayfarer","St. Francis Xavier SS",150
