Rank,Team/User Name,School/Organization,Score
1,"bowsette lovers","Bowser's Castle",35135
2,"1064CBread","Dos Pueblos High School, Santa Barbara, CA",35135
3,"hpmv","Individual",35135
4,"Stallman's Recycle Plant","Suncoast Community High School ",34385
5,"Lotus_Assassins","HOC VIEN KY THUAT MAT MA",34335
6,"r00t3r","securisecctf",33585
7,"ihscyber2","Interlake",32585
8,"Diesel Locomotive","LASA",32585
9,"redpwn","Scarsdale High School",32485
10,"0x90r00t","0x90r00t",32485
11,"Sice Squad","University of Maryland",31885
12,"Apéri'Kube","ENSIBS",31685
13,"d3bug0","---",31685
14,"tfcis","Tainan First Senior High School",31685
15,"West","Plano West Senior High School, Plano, TX",31685
16,"f1aa","FPT University",31685
17,"hanto","UCLA",31685
18,"tjcsc","TJHSST",31685
19,"z3r0_n1ght","FPT University",31685
20,"codeine","Lorem Ipsum",31635
21,"pql"," Stedelijk Gymnasium Leiden",30985
22,"pearl","Montgomery Blair High School",30835
23,"pspaul","Ruhr-University Bochum",30835
24,"cppio","WW-P High School North, Plainsboro, NJ",30835
25,"0e85dc6eaf","TBD",30835
26,"Point Mass","Liberal Arts and Science Academy",30835
27,"unlimited_reagents","Bergen County Academies, Hackensack, NJ",30835
28,"Little Men","Lorne Park Secondary School",30835
29,"sajninredoc","none",30835
30,"Sweeet","null",30785
31,"noraneco","None",30785
32,"FresherMan","other",30785
33,"coffee","smartodds",30785
34,"nops","Technical University Vienna",30785
35,"ﬁve","Unaffiliated",30785
36,"Noxale","noxale",30535
37,"pwntastic four","Example School",30435
38,"m4dm3n","88u9tki2@gmail.com",30385
39,"srikavin","RHS",30335
40,"polaris","SJTU",30235
41,"CustBois","Richmond Hill High School",30235
42,"Made In MIM beta","University of Warsaw",30035
43,"ArmiaPrezesa","Politechnika Warszawska",29935
44,"seikatsuKowareru","Sagamihara Secondary School",29935
45,"TeamGreyskull","CastleGreyskull",29885
46,"SAS Hackers","Singapore American School",29685
47,"efiens","BKU",29635
48,"PYROX","Mekif Zain, Ashdod",29585
49,"GuardianSNU","SNU",29385
50,"Microsoft Tech Support","Richardson High School",29335
51,"starlord","IIT Roorkee",29335
52,"HaruharaMai","Tokyo Institute of Technology",29235
53,"MV9rwGOf08","MV9rwGOf08",29235
54,"ecnerwala","MIT",29135
55,"cRUcible","Adversary",29135
56,"Rede_Sec","Aeronautics Technological Institute",29135
57,"collares","Universidade Federal de Minas Gerais",29135
58,"LiUhack1","Linköping University",28785
59,"OH--","Choate Rosemary Hall",28785
60,"in/s/ane","University of Illinois at Urbana-Champaign",28735
61,"holocircuit","Trinity College, Cambridge",28635
62,"Pham Solo","University of Warsaw",28585
63,"TeamSoulve","Liverpool",28435
64,"SecSession","Western Sydney University",28435
65,"oti_sec","universetas gadjah mada",28435
66,"Mushrooms","None",28285
67,"Bad Mavericks","The Nueva School",28185
68,"Mad Mavericks","The Nueva School, San Mateo, CA",28185
69,"ácaros","Instituto Superior Técnico",28185
70,"Yoda","example",28035
71,"SDSLabs","IIT Roorkee",27985
72,"paiv","<private>",27985
73,"fnaka","N/A",27935
74,"rua~","SJTU",27935
75,"JCTF","JCT",27885
76,"y0z7","The University of Kansas, KU",27885
77,"OGC","ENSIBS",27785
78,"Spookies","Spookies Co., Ltd.",27785
79,"madStacks","USAF",27735
80,"Hirota Sora","Yokosuka Girls' Maritime High School",27485
81,"unc0nfigur3d","private",27435
82,"CyberShrug","School 36",27335
83,"fsoci3ty","IITR",27285
84,"JJJ","JJJ",27235
85,"meaty_phrack","Ocean County College",27160
86,"hnoson","Indeed",27135
87,"FRC Discord","Wilsonville High School",27135
88,"BisonSquad","BisonSquad",26585
89,"Quufan","Test",26560
90,"roeesefi","BIU",26535
91,"Coders_on_the_wall","IIT Delhi",26385
92,"PwnPundits","University of Illinois-Chicago",26385
93,"kcz","UT, UT",26335
94,"bift3ki","St. Catherine's British School",26210
95,"inv4sion","IITR",26185
96,"JumpingLosers","Org Organization",26185
97,"🚿🚿🚿","Lund University, Lund",26035
98,"Emacs Church","XIV LO im. S. Staszica",25985
99,"dedsec","IIIT Allahabad",25935
100,"1064 Cool Ranch","UCSB",25785
101,"KTHCTF0x1","KTH",25485
102,"Haxor123!","High School North, West Windsor, NJ",25185
103,"Endeavour","Space Academy",25110
104,"Beerznhash","ENSIBS",25085
105,"zst123 ","Nanyang Polytechnic",25035
106,"WolfTeam","Werewolves",24935
107,"Rawsec","nah",24885
108,"Inshall'Hack","ESEO",24735
109,"National Insecurity Security Agency","UNSW",24685
110,"Literal Dips","Doral Academy Charter High School",24635
111,"düp","Niles West High School",24585
112,"Ntropy","University of North Carolina at Chapel Hill",24585
113,"357","Military University of Technology",24585
114,"HIMAPETOT","Bogor Kindergaten School",24535
115,"chaoka","n00b Nursery",24385
116,"Kent Ma","NYU",24385
117,"ninjaprawn","CGS",24360
118,"Shadow Cats","Shadow Cats",24335
119,"tkmk","SJTU",24335
120,"w00tw00t","private",24285
121,"BeerOverflow","Francesco",24235
122,"ScriptBaby","Ngee Ann Polytechnic",24185
123,"BTeam","B company",23985
124,"bolgia4","p0tat0z",23835
125,"alvar","Aalto",23785
126,"captiosus","NYU",23635
127,"L Distribution","Poolesville High School",23610
128,"zzgrzytctf","Zgrzyt",23460
129,"Gr0w7hk3ys3","The University of Kitakyusyu",23435
130,"nie","none",23385
131,"Tresk","Nepoviem",23385
132,"tinypingu","Hwa Chong Institution",23285
133,"xxzxcuzxMe","Wrocław University of Science and Technology",23235
134,"id0X","Del Norte",23210
135,"Hyper","NYU",23135
136,"f00fc7c7","Tepes",23085
137,"Ins3cl4b","InSecLab",22985
138,"Team_Bagel","private",22835
139,"SealTeamOne","SealTeam1",22835
140,"joeywang4","NTU",22735
141,"quiddity","Cyren",22685
142,"pwnthem0le","Polito",22635
143,"Root Security","Politechnika Świętokrzyska",22560
144,"daninnm","Sofia University",22535
145,"beer_side","uniTO",22460
146,"caesurus","Private Fun",22335
147,"zzzz","UIT",22135
148,"Nebulaxc","Canisius High School",22110
149,"Toasty the Toaster","The Dalton School, New York, NY",22085
150,"HTsP","Tudor Vianu High School",22035
151,"PTIT_NO_LIMIT","PTIT",21935
152,"Buzz3d","Georgia Institute of Technology",21935
153,"doubleyou","University of Manchester",21785
154,"BlackPanther","Self taught",21760
155,"BigTreeFalconA","Kyoto University",21635
156,"The Treaty of Paris","Stargate High School",21535
157,"Markham Marauders","Markham District",21335
158,"Don't Panic!","Leibniz University Hannover",21285
159,"kiki","None",21235
160,"Snow In April","The Woodlands Secondary School",21235
161,"Placeholder name here","CMU, Pittsburgh PA",21210
162,"hwcybsec","Harvard Westlake",21185
163,"tr0gd0r","Northeastern",21085
164,"UNSW1","University of New South Wales",21010
165,"The 35th Horde","ENSIIE",20985
166,"Kernel Sanders","University of Florida",20935
167,"S3GFAULT","Bridgwater Taunton College",20885
168,"UsagiSecurityKw2","University of Indonesia",20860
169,"Team2","Ting",20860
170,"randomTeamName","no thank you",20810
171,"fishy fish fish","Monta Vista",20760
172,"GuillaumeHuet","None",20735
173,"gorogoroumaru","the university of tokyo",20635
174,"AntGeeK","HUST",20610
175,"MrSlick","Kimberly High School, Kimberly, WI",20610
176,"GigEmBytes","Texas A&M University",20560
177,"akj88","IUST",20535
178,"kusti8","High Technology High School",20510
179,"ilikeyourshirt","Independent",20435
180,"a_team_has_no_n4me","esprit",20335
181,"FloppySec","Make IT Happen",20335
182,"AAABravo","zju",20310
183,"lolcads","lolcads",20235
184,"JHDiscord","N/A",20185
185,"RobustH3ck","University of Michigan",20110
186,"Joon","SNU",20085
187,"E power","blah",19960
188,"Punch Screen Receive Shirts","James Ruse Agricultural High School",19910
189,"A MEOW","Newark Academy",19910
190,"Bits Pls","Tirana",19835
191,"bshim","n/a",19785
192,"天朝理科生","ydj",19760
193,"Yozik","ISIT SibFU",19760
194,"Inteam","FHSTP",19735
195,"MemOry ENaBleD","Oregon State University",19685
196,"Bank_Robber","BankRobber",19660
197,"segfaults","rmc",19660
198,"TeamTroymonSmunt","Smunt Enterprises",19610
199,"Arch1t3ct","United States Military Academy",19610
200,"<svg onload=eval(atob`Zm9yKDs7KXt9`)>","Mt Lebanon",19610
201,"iKodack","Univ.of.Tokyo",19485
202,"Good Mavericks","Nueva",19360
203,"HATS Singapore","NUS High",19335
204,"▲▲▲","Northeastern University",19285
205,"kyo1","MMA",19285
206,"zifmia","none",19235
207,"chubacca","UCB",19185
208,"Space","Trinity Valley School",19160
209,"YBS-sklois","UCAS",19160
210,"madeye","Hogwartz, NY",19010
211,"d4rks0c1ety","IIEST Shibpur",19010
212,"JHDiscord3","ERSŠG Vegova Ljubljana",18985
213,"trupples","Liceul Teoretic "Nicolae Iorga"",18960
214,"Hack.Aaron","Monash",18935
215,"cpegg","SJTU, SHANGHAI",18910
216,"teamoliverlyak","Example",18860
217,"4015u","Brazil University",18785
218,"Kam1tsu","KeioUniversity",18760
219,"0penToA11","Open To All University",18735
220,"Arbabinauts","McKinney High School",18635
221,"RNNF","High Technology School",18585
222,"Delimiters","Henry M Gunn High School, Palo Alto, CA",18585
223,"Kukuruku","Bgu",18560
224,"NieDzejkob","I LO Dwujęzyczne im. Edwarda Dembowskiego, Gliwice",18535
225,"reasonably_suspicious_activity","NITK",18510
226,"frasten","Università degli Studi di Brescia",18460
227,"Nullz","Shiraz",18435
228,"penchant","nop",18435
229,"Limpopo","Limpopo",18385
230,"mosaku1","shimo",18285
231,"isc","University POLITEHNICA of Bucharest",18260
232,"green-plant","Oracle",18260
233,"Ignition","Mountain View High School",18210
234,"sum(IQ)=INT_MIN","University of New South Wales",18185
235,"~#sudo maso","Free University of Brussels",18135
236,"colonel0x20","Frobozz, Inc.",18110
237,"Kim Jung Dos","Cegep Saint-Jean-sur-Richelieu",18110
238,"SKR","KDU UC",18110
239,"WASD","hust",18085
240,"privacy_shakers","IIITD",18085
241,"yeeb0iz","this shouldnt be required",18060
242,"we_r_groot","Univ. of Maryland, College Park, MD",18010
243,"securitycats","Flatiron",17985
244,"dr3dd","IITR",17910
245,"!!!SC4TT3R3D","Singapore Polytechnic",17885
246,"squalltan2000","UL International",17835
247,"Th3c0n","School of CTF",17760
248,"Debugmen","Debugmen CTF Team",17735
249,"pythonlikeyoumeanit.com","Winchester High School",17735
250,"Gorillas 2","The Harker School",17735
251,"hackerg007","SJTU",17710
252,"cothan","George Mason University",17685
253,"LevitatingLion","None",17635
254,"kallsyms_","NYU",17635
255,"Billy","NCTU",17635
256,"KERT337","KNU",17635
257,"ido","asdsaadsdas",17410
258,"MasterV","UPB",17410
259,"IMEsec","Usp",17335
260,"chashtag","franco electronics ltd",17335
261,"GeniusDumbos","Winston Churchill High",17310
262,"K.knock","Kyonggi Univ.",17260
263,"NGNT","zju",17260
264,"N4NU","UEC",17210
265,"Terminal_A","Wayland High School",17210
266,"Ulitamate","hfut",17185
267,"int3us","Independent",17160
268,"WannaByte","N/A",17110
269,"CrossCountryHackers","Berkeley High",17060
270,"xrust","Just for fun",16910
271,"vietnakid","FPT University",16860
272,"Thought Patrol","Granada Hills Charter High School",16810
273,"sunrin","Sunrin Internet High School",16785
274,"jeong.su","jeong.su",16785
275,"Raizus","Mother Margaret Mary Catholic High School",16760
276,"ETS","InfoSect, Australia",16735
277,"Goofy Goobers","Central High School",16710
278,"mksrg02","University of Florida",16660
279,"BinaryBears","MTUCI",16660
280,"p1r4t3s","abc",16660
281,"The Miggels","Bergen County Academies",16660
282,"Johns Hopkins University","helloworld",16535
283,"acdwas","acdwas",16510
284,"Cake","MIT",16460
285,"NotTeamHD","0x90",16410
286,"0xcafebabe","0xdeadbeef",16385
287,"oneonesix","ODDD",16360
288,"luliz","IME",16360
289,"BlankEAL","UCL",16360
290,"Hex.phbia","BINUS SIMPRUG SCHOOL",16310
291,"Retired Congressmen","Methacton High School",16310
292,"ScubaSquad","TJHSST",16210
293,"Is my monitor a boat anchor?","BevFacey Community High School",16185
294,"charlie","University Of Warsaw",16135
295,"MSIP8","CFA",16135
296,"l0l","UGM",16110
297,"c²warriors","FH St. Pölten",16110
298,"Gymea","Swinburne University of Technology",16085
299,"JohnDoe","Institute of Noble Maidens",16060
300,"monu_1337","Monash University",16035
301,"albntomat0_the_team","Other",16035
302,"YoloSw4g","Wavestone",16035
303,"cryingclown5195","CAX",16010
304,"Sisler Spartans","Sisler High School, Winnipeg MB",16010
305,"dlb","ustc",15910
306,"tofut0fu","LASA High School",15910
307,"ricora_alg","Tokyo University of Science",15885
308,"PGSS2018","Uniontown Area High School, Uniontown PA",15860
309,"South CSI","West Windsor-Plainsboro High School South",15810
310,"morter","none",15810
311,"Le Pack de Sys","ENSIBS",15710
312,"IsC_Sn0m3aD","E!NSI",15710
313,"TCHS - dOnT hUg Me iM scArED","Temple CIty High School",15660
314,"DontBeTrash","Pattonville Highschool",15560
315,"ASV","XXXxx",15535
316,"MajorKebab","KebabTown",15535
317,"bellaire","Bellaire High School, Houston TX",15510
318,"NCC","明治大学",15510
319,"EEP Team 6","Hillside School",15485
320,"Montgomery WCHS STEM","Winston Churchill High School",15485
321,"importrandom","Indian Institute of Technology Bombay",15460
322,"Appa, Yip Yip!","High Technology High School",15460
323,"jzxt","jz info sec lab",15435
324,"PicOSIzEdbRaInS","albany high school",15410
325,"Wyverns","Woodbridge College",15410
326,"Some Gunn Kids","Henry M. Gunn High School, Palo Alto, CA",15385
327,"EncryptKeeper","Don Mills Collegiate Institute",15260
328,"nopx90","NUs",15235
329,"Clements Inventors Team A","William P. Clements High School",15210
330,"mu ","Naperville North High School",15185
331,"Purple Penguins","Hisar School",15160
332,"NOPslEd","SecureLabs",15160
333,"rand0w","PJAIT",15110
334,"R01S","FZU",15110
335,"orange&black","Wayland High School",15110
336,"bitsPlease","Univeristy of Lodz",15110
337,"Trash Pandas","Trash Pandas",15085
338,"fargate","ITMO University",15060
339,"pay2oad","Gachon",15060
340,"Bulgaria","Woodbridge College",15010
341,"patches0binary","USNA",14960
342,"WAFUTEAM","dream team",14910
343,"K17","University Of New South Wales",14885
344,"sh4mr0ck","none",14835
345,"\x00rniths","High Technology High School",14810
346,"renoJackson93","UOC",14785
347,"swiss_trust","HSR",14760
348,"mstuca","mstuca",14710
349,"Blackfoxs","Blackfoxs",14685
350,"Raomen","Dr. Norman Bethune C.I.",14685
351,"0xbad1ceb00da","Indian Institute of Technology Roorkee",14660
352,"ev0","RBC",14635
353,"PŒTIR","Kindergarten Sunib",14610
354,"Phish and Cheats","Nanyang Polytechnic",14560
355,"sniper","None",14510
356,"idleless","unemployed",14510
357,"veganjay","Self",14460
358,"cac con ga","Lorne Park SS",14435
359,"OMD","tech",14385
360,"JanTheJavaMen","Suncoast High School",14360
361,"meowOuO","Taiwan Tech",14335
362,"k3d4r","none",14335
363,"GrowthKeys1","JEC 1CA1",14310
364,"NotCoolBatman","Suncoast High",14310
365,"Happy :D","The Woodlands Secondary School",14260
366,"knightsec","university of central florida",14235
367,"GNU-E-Ducks","The Evergreen State College",14235
368,"EAnbai","NITOK",14235
